id,DateTime,max_temp,min_temp,avg_temp,rh_max,rh_min,rh_avg,L,et0
1,1/1/2019 6:00,20.1,15.6,18.9,69.3,61.1,63.45,50,1.33
2,1/1/2019 7:00,22.1,17.6,20.9,57.3,49.1,51.45,91,3.28
3,1/1/2019 8:00,22.5,18,21.3,55.3,47.1,49.45,151,3.63
4,1/1/2019 9:00,23.1,18.6,21.9,46.7,38.5,40.85,181,4.63
5,1/1/2019 10:00,25.1,20.6,23.9,43.3,35.1,37.45,386,5.59
6,1/1/2019 11:00,25.7,21.2,24.5,45.6,37.4,39.75,473,5.58
7,1/1/2019 12:00,25.5,21,24.3,51.6,43.4,45.75,615,5.11
8,1/1/2019 13:00,25.7,21.2,24.5,59.6,51.4,53.75,726,4.48
9,1/1/2019 14:00,24.1,19.6,22.9,64.6,56.4,58.75,747,3.49
10,1/1/2019 15:00,24.5,20,23.3,66.8,58.6,60.95,529,3.5
11,1/1/2019 16:00,22.1,17.6,20.9,70.3,62.1,64.45,489,2.12
12,1/1/2019 17:00,21.5,17,20.3,70.3,62.1,64.45,358,1.87
13,1/1/2019 18:00,21.4,16.9,20.2,71.6,63.4,65.75,284,1.56
14,1/2/2019 6:00,19.1,14.6,17.9,69.3,61.1,63.45,49,0.9
15,1/2/2019 7:00,19.3,14.8,18.1,57.3,49.1,51.45,91,2.05
16,1/2/2019 8:00,19.1,14.6,17.9,55.3,47.1,49.45,151,2.28
17,1/2/2019 9:00,20.5,16,19.3,46.3,38.1,40.45,181,3.69
18,1/2/2019 10:00,19.8,15.3,18.6,43.5,35.3,37.65,386,3.61
19,1/2/2019 11:00,20.6,16.1,19.4,45.3,37.1,39.45,473,3.78
20,1/2/2019 12:00,21.1,16.6,19.9,52.3,44.1,46.45,615,3.34
21,1/2/2019 13:00,24.9,20.4,23.7,60.3,52.1,54.45,726,4
22,1/2/2019 14:00,25.1,20.6,23.9,64.6,56.4,58.75,747,3.9
23,1/2/2019 15:00,24.2,19.7,23,67.3,59.1,61.45,529,3.21
24,1/2/2019 16:00,22.7,18.2,21.5,70.3,62.1,64.45,489,2.31
25,1/2/2019 17:00,21.9,17.4,20.7,70.5,62.3,64.65,358,1.87
26,1/2/2019 18:00,22,17.5,20.8,72.3,64.1,66.45,284,1.94
27,1/3/2019 6:00,20.1,15.6,18.9,70.5,62.3,64.65,91,1.24
28,1/3/2019 7:00,22.8,18.3,21.6,57.3,49.1,51.45,91,3.46
29,1/3/2019 8:00,22.5,18,21.3,55.3,47.1,49.45,151,3.63
